,Age,MonthlyIncome,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Human Resources,Life Sciences,Marketing,Medical,Other,Technical Degree,AgeMinMax,AgeStand
0,41,5993.0,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,19479.0,8,Yes,11.0,3.0,1,0,8,0,1,6,4,0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.5476190476190477,0.44606151920517867
1,49,4908.0,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,24907.0,1,No,23.0,4.0,4,1,10,3,3,10,7,1,7,0.0,1.0,0.0,0.0,0.0,0.0,0.7380952380952379,1.324247476719826
2,37,2090.0,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2396.0,6,Yes,15.0,3.0,2,0,7,3,3,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.4523809523809524,0.0069685404478550305
3,33,2909.0,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,23159.0,1,Yes,11.0,3.0,3,0,8,3,3,8,7,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.35714285714285715,-0.4321244383094686
4,27,3468.0,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,16632.0,9,No,12.0,3.0,4,1,6,3,3,2,2,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.21428571428571425,-1.090763906445454
5,32,3068.0,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,11864.0,0,No,13.0,3.0,3,0,8,2,2,7,7,3,6,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.5418976829987995
8,38,9526.0,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,8787.0,0,No,21.0,4.0,2,0,10,2,3,9,7,1,8,0.0,1.0,0.0,0.0,0.0,0.0,0.4761904761904761,0.11674178513718594
9,36,5237.0,0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,16577.0,6,No,13.0,3.0,2,2,17,3,2,7,7,7,7,0.0,0.0,0.0,1.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
10,35,2426.0,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,16479.0,0,No,13.0,3.0,3,1,6,5,3,5,4,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
11,29,4193.0,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,12682.0,0,Yes,12.0,3.0,4,0,10,3,3,9,5,0,8,0.0,1.0,0.0,0.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
12,31,2911.0,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,15170.0,1,No,17.0,3.0,4,1,5,1,2,5,2,4,3,0.0,1.0,0.0,0.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
13,34,2661.0,0,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,8758.0,0,No,11.0,3.0,3,1,3,2,3,2,2,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.380952380952381,-0.3223511936201377
14,28,2028.0,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,12947.0,5,Yes,14.0,3.0,2,0,6,4,3,4,2,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.23809523809523808,-0.9809906617561232
15,29,9980.0,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,10195.0,1,No,11.0,3.0,3,1,10,1,3,10,9,8,8,0.0,1.0,0.0,0.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
16,32,3298.0,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,15053.0,0,Yes,12.0,3.0,4,2,7,5,2,6,2,0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.5418976829987995
18,53,15427.0,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,22021.0,2,No,16.0,3.0,3,0,31,3,3,25,8,3,7,0.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333333,1.7633404554771495
19,38,3944.0,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,4306.0,5,Yes,11.0,3.0,3,0,6,3,3,3,2,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.4761904761904761,0.11674178513718594
20,24,4011.0,0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,8232.0,0,No,18.0,3.0,4,1,5,5,2,4,2,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.14285714285714285,-1.4200836405134467
21,36,3407.0,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,6986.0,7,No,23.0,4.0,2,0,10,4,3,5,3,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
22,34,11994.0,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,21293.0,0,No,11.0,3.0,3,0,13,4,3,12,6,2,11,0.0,1.0,0.0,0.0,0.0,0.0,0.380952380952381,-0.3223511936201377
24,34,2960.0,1,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,17102.0,2,No,11.0,3.0,3,0,8,2,3,4,2,1,3,0.0,0.0,0.0,1.0,0.0,0.0,0.380952380952381,-0.3223511936201377
25,53,19094.0,0,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,10735.0,4,No,11.0,3.0,4,1,26,3,2,14,13,4,8,0.0,0.0,0.0,0.0,1.0,0.0,0.8333333333333333,1.7633404554771495
26,32,3919.0,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,4681.0,1,Yes,22.0,4.0,2,0,10,5,3,10,2,6,7,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.5418976829987995
27,42,6825.0,0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,21173.0,0,No,11.0,3.0,4,1,10,2,3,9,7,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.5714285714285714,0.5558347638945096
28,44,10248.0,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,2094.0,3,No,14.0,3.0,4,1,24,4,3,22,6,5,17,0.0,0.0,0.0,1.0,0.0,0.0,0.6190476190476188,0.7753812532731714
29,46,18947.0,0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,22822.0,3,No,12.0,3.0,4,0,22,2,2,2,2,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666665,0.9949277426518331
30,33,2496.0,0,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,6670.0,4,No,11.0,3.0,4,0,7,3,3,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.35714285714285715,-0.4321244383094686
31,44,6465.0,0,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,19121.0,2,Yes,13.0,3.0,4,0,9,5,4,4,2,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.6190476190476188,0.7753812532731714
32,30,2206.0,0,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,16117.0,1,No,13.0,3.0,1,0,10,5,3,10,0,1,8,0.0,0.0,0.0,1.0,0.0,0.0,0.28571428571428564,-0.7614441723774613
33,39,2086.0,1,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,3335.0,3,No,14.0,3.0,3,1,19,6,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.49999999999999994,0.22651502982651683
